timestamp,date,year,month,week,shift,operator_id,line_id,equipment_id,equipment_type,product_id,units_produced,units_defective,units_scrap,units_rework,defect_type
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP008,L1,L1-CHECK-01,CHECK,PRD-D,4472,60,51,9,Sobrepeso
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP013,L1,L1-DEPAL-01,DEPAL,PRD-A,4896,30,23,7,Material extraño
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP003,L1,L1-FEED-01,FEED,PRD-B,4803,38,12,26,Sin defecto
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP006,L1,L1-FILL-01,FILL,PRD-B,4444,105,23,82,Bajo peso
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP004,L1,L1-LABEL-01,LABEL,PRD-B,4286,36,12,24,Error de codificación
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP003,L1,L1-PACK-01,PACK,PRD-C,4223,30,12,18,Defecto de etiqueta
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP015,L1,L1-SEAM-01,SEAM,PRD-C,4354,57,37,20,Defecto de sellado
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP005,L1,L1-WASH-01,WASH,PRD-A,4670,32,10,22,Contaminación
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP005,L1,L1-XRAY-01,XRAY,PRD-C,4196,19,11,8,Material extraño
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP014,L2,L2-CAPPER-01,CAPPER,PRD-C,5878,99,40,59,Error de codificación
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP004,L2,L2-CHECK-01,CHECK,PRD-E,4254,50,38,12,Sobrepeso
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP005,L2,L2-FILL-01,FILL,PRD-C,4473,85,9,76,Bajo peso
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP012,L2,L2-LABEL-01,LABEL,PRD-C,4388,49,22,27,Defecto de etiqueta
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP015,L2,L2-PACK-01,PACK,PRD-A,4220,32,10,22,Defecto de etiqueta
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP012,L2,L2-RINSE-01,RINSE,PRD-A,5922,29,14,15,Contaminación
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP004,L3,L3-CART-01,CART,PRD-B,2902,22,4,18,Integridad del paquete
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP014,L3,L3-CHECK-01,CHECK,PRD-E,4435,51,12,39,Sobrepeso
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP008,L3,L3-FFS-01,FFS,PRD-E,3011,85,17,68,Contaminación
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP006,L3,L3-METAL-01,METAL,PRD-B,3009,25,2,23,Material extraño
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP003,L3,L3-SEAL-01,SEAL,PRD-B,3000,54,14,40,Defecto de sellado
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP002,L4,L4-PACK-01,PACK,PRD-E,4331,38,11,27,Integridad del paquete
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP008,L4,L4-PAL-01,PAL,PRD-A,2776,7,2,5,Integridad del paquete
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP001,L4,L4-WRAP-01,WRAP,PRD-E,2851,2,1,1,Integridad del paquete
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP012,L1,L1-CHECK-01,CHECK,PRD-D,4391,70,19,51,Bajo peso
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP003,L1,L1-DEPAL-01,DEPAL,PRD-C,4772,24,9,15,Sin defecto
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP006,L1,L1-FEED-01,FEED,PRD-A,4924,35,12,23,Sin defecto
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP009,L1,L1-FILL-01,FILL,PRD-D,4418,97,56,41,Contaminación
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP008,L1,L1-LABEL-01,LABEL,PRD-A,3999,42,6,36,Defecto de etiqueta
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP007,L1,L1-PACK-01,PACK,PRD-D,4157,39,10,29,Integridad del paquete
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP002,L1,L1-SEAM-01,SEAM,PRD-A,4493,84,69,15,Integridad del paquete
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP007,L1,L1-WASH-01,WASH,PRD-A,4490,39,13,26,Defecto de etiqueta
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP002,L1,L1-XRAY-01,XRAY,PRD-C,4277,24,6,18,Contaminación
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP004,L2,L2-CAPPER-01,CAPPER,PRD-F,5382,112,17,95,Integridad del paquete
2024-01-01 15:00:00,2024-01-01,2024,1,1,Tarde,OP007,L2,L2-CHECK-01,CHECK,PRD-A,4482,65,23,42,Sobrepeso
